InChIKey,drugbank_id,groups
NKMPOVPTYDXGEC-MNRBYUMSSA-N,DB03104,experimental
YBEVTZVQKMYQPM-UHFFFAOYSA-N,DB03114,experimental
QHANCKHXGBJANE-UHFFFAOYSA-O,DB03129,experimental
SIAVMDKGVRXFAX-UHFFFAOYSA-N,DB03140,experimental
YEMKIGUKNDOZEG-UHFFFAOYSA-N,DB03174,experimental
DUYYBTBDYZXISX-UKKRHICBSA-N,DB03196,experimental
JWSWTHSJMGVOKE-HNNXBMFYSA-N,DB03202,experimental
NQABUEUFRXDDFI-AWEZNQCLSA-N,DB03251,experimental
CGEZBCISRKFHLZ-UHFFFAOYSA-N,DB03306,experimental
HOKIDJSKDBPKTQ-GLXFQSAKSA-N,DB03313,experimental
JFUIHGAGFMFNRD-UHFFFAOYSA-N,DB03384,experimental
GXENQLUSOCKXDN-GMQQYTKMSA-N,DB03405,experimental
IMTUSTXBVIALBC-SJORKVTESA-N,DB03456,experimental
JOZGNYDSEBIJDH-UHFFFAOYSA-N,DB03516,investigational
ORZXYSPOAVJYRU-HOTGVXAUSA-N,DB03535,experimental
KSNXJLQDQOIRIP-UHFFFAOYSA-N,DB03554,experimental
FPOLWERNILTNDK-UHFFFAOYSA-N,DB03578,experimental
VBPPNJCVXGAZDD-PMACEKPBSA-N,DB03642,experimental
MRTSIBBMOWLRPY-IHPCNDPISA-N,DB03702,experimental
LENZDBCJOHFCAS-UHFFFAOYSA-N,DB03754,approved
HFEKDTCAMMOLQP-RRKCRQDMSA-N,DB03761,experimental
LXEDKIMJQBOMSU-MOPGFXCFSA-N,DB03767,experimental
JSRLJPSBLDHEIO-SHYZEUOFSA-N,DB03800,experimental
SXGZJKUKBWWHRA-UHFFFAOYSA-N,DB03814,experimental
NAYNUXXSJZLKPW-UHFFFAOYSA-N,DB03828,experimental
WSFSSNUMVMOOMR-UHFFFAOYSA-N,DB03843,approved|vet_approved
WVMWZWGZRAXUBK-SYTVJDICSA-N,DB03868,experimental
HGDUWJVGIGLVOH-ZEQRLZLVSA-N,DB03891,experimental
MWTQNXVXPLTHJB-YADHBBJMSA-N,DB03984,experimental
UTRLJOWPWILGSB-UHFFFAOYSA-N,DB04085,experimental
WFVCNOHOODVBQK-IUBYCILNSA-N,DB04086,experimental
XCLFQXCQQHVLJQ-UHFFFAOYSA-O,DB04109,experimental
YKAYCWPQDPILSA-RXMQYKEDSA-N,DB04170,experimental
UEDKSAKLZBMNMA-ROUUACIJSA-N,DB04234,experimental
CDWXSPKJKIUEQF-BIXWYCRZSA-N,DB04269,experimental
GSXOAOHZAIYLCY-PBXRRBTRSA-N,DB04277,experimental
VZCYOOQTPOCHFL-UPHRSURJSA-N,DB04299,experimental
GNGACRATGGDKBX-UHFFFAOYSA-N,DB04326,investigational
HHLFWLYXYJOTON-UHFFFAOYSA-N,DB04343,experimental
SLWWJZMPHJJOPH-PHDIDXHHSA-N,DB04347,experimental
YNCYPMUJDDXIRH-UHFFFAOYSA-N,DB04360,experimental
MLUCVPSAIODCQM-NSCUHMNNSA-N,DB04381,experimental
SXKNCCSPZDCRFD-UHFFFAOYSA-N,DB04401,experimental
VHJLVAABSRFDPM-IMJSIDKUSA-N,DB04447,experimental
SUGXUUGGLDCZKB-UHFFFAOYSA-N,DB04459,experimental
GSXOAOHZAIYLCY-HSUXUTPPSA-N,DB04493,experimental
AWMVMTVKBNGEAK-QMMMGPOBSA-N,DB04499,experimental
DUAWJQCMZICMIK-UHFFFAOYSA-N,DB04560,experimental
GRSZFWQUAKGDAV-KQYNXXCUSA-N,DB04566,experimental
IDBWWEGDLCFCTD-VNEMRZQUSA-N,DB04595,experimental
OTTYWVUOPWENAJ-HOJAQTOUSA-N,DB04647,experimental
JCRSHQCFRMCMOC-GSDHBNRESA-N,DB04653,experimental
MQMHIOPMTAJOHV-RTWAWAEBSA-N,DB04732,experimental
VOAZJEPQLGBXGO-SDAWRPRTSA-N,DB04918,approved|investigational
BBAWEDCPNXPBQM-GDEBMMAJSA-N,DB05521,approved|withdrawn
UGJWRPJDTDGERK-UHFFFAOYSA-N,DB06091,investigational
FKCMADOPPWWGNZ-YUMQZZPRSA-N,DB06182,investigational
AVAACINZEOAHHE-VFZPANTDSA-N,DB06211,approved|investigational
BWYBBMQLUKXECQ-GIVPXCGWSA-N,DB06367,investigational
FWIVDMJALNEADT-SFTDATJTSA-N,DB06670,investigational
QLXOHIUDKNRVBZ-UHFFFAOYSA-N,DB07120,experimental
MGSKVZWGBWPBTF-UHFFFAOYSA-N,DB07347,experimental
JTIIYPHJIDENCW-JTQLQIEISA-N,DB07380,experimental
MSRKDROGGGBNIX-VIFPVBQESA-N,DB07464,experimental
QGJUIPDUBHWZPV-YQBUGCKMSA-N,DB07465,experimental
XSBZZZGVAIXJLD-YUMQZZPRSA-N,DB07482,experimental
JJPKFZAOXOEFHQ-UHFFFAOYSA-N,DB07541,experimental
FMYKJLXRRQTBOR-BZSNNMDCSA-N,DB07558,experimental
ZLZXUNHJWVLGTE-DLBZAZTESA-N,DB07592,experimental
ONABDOMWRCXLPX-KRWDZBQOSA-N,DB07593,experimental
UCQIHCRMWNRFNP-QYZOEREBSA-N,DB07658,experimental
AILSWIBFGYYZTK-AABGKKOBSA-N,DB07659,experimental
YKWKWNKWBGQECF-SQNIBIBYSA-N,DB07660,experimental
HTUBKQUPEREOGA-UHFFFAOYSA-N,DB07662,experimental
KKADPXVIOXHVKN-UHFFFAOYSA-N,DB07718,experimental
HDKGQVZBBSICLG-UHFFFAOYSA-N,DB07733,experimental
SUUHZYLYARUNIA-YEWWUXTCSA-N,DB07744,experimental
MVHRCJQCKYPDRL-UHFFFAOYSA-N,DB07846,experimental
DNTSIBUQMRRYIU-UHFFFAOYSA-N,DB07863,experimental
SSNQAUBBJYCSMY-LWQPPDATSA-N,DB07905,experimental
QXMPYGCWDMKRMF-IRXDYDNUSA-N,DB07916,experimental
OGODDSLNRULSMM-UHFFFAOYSA-N,DB07965,experimental
JJNKDTWKWYLERH-UHFFFAOYSA-N,DB07967,experimental
YEIXDWIEYXZUBR-QLJPJBMISA-N,DB07990,experimental
QDLHCMPXEPAAMD-QAIWCSMKSA-N,DB08059,experimental
MZNXJCZDQRNGRC-GJZGRUSLSA-N,DB08119,experimental
UFSBFVZQJZMIOU-IYKVGLELSA-N,DB08158,experimental
PFAYCUAUBOGVDX-AWEZNQCLSA-N,DB08213,experimental
TUNFSRHWOTWDNC-UHFFFAOYSA-N,DB08231,experimental
JNRAPROKLOUIRA-AWEZNQCLSA-N,DB08251,experimental
RXOHFPCZGPKIRD-UHFFFAOYSA-N,DB08262,experimental
IRHZCQDCMUWUKV-RAXLEYEMSA-N,DB08302,experimental
CNNSBPMDYXZFTQ-VIFPVBQESA-N,DB08374,experimental
YEIXDWIEYXZUBR-MGPLVRAMSA-N,DB08419,experimental
UFOIPTZMXQILSG-HKBOAZHASA-N,DB08420,experimental
CILDJVVXNMDAGY-UHFFFAOYSA-N,DB08433,experimental
JGWHILNNHLDARR-UHFFFAOYSA-N,DB08462,experimental
LGJCDEZMANATFA-ZDUSSCGKSA-N,DB08552,experimental
